osmid,y,x,street_count,highway,ref,railway,geometry
10090683876,41.0118534,28.947444,3,,,,POINT (28.947444 41.0118534)
10090683898,41.0113952,28.9481287,4,,,,POINT (28.9481287 41.0113952)
10091713585,41.0164038,28.9415785,3,,,,POINT (28.9415785 41.0164038)
10091713589,41.0153853,28.9408323,4,crossing,,,POINT (28.9408323 41.0153853)
10091713591,41.0154327,28.9408692,4,crossing,,,POINT (28.9408692 41.0154327)
10091713593,41.0154942,28.9408964,3,crossing,,,POINT (28.9408964 41.0154942)
10091713594,41.0153183,28.9407294,3,crossing,,,POINT (28.9407294 41.0153183)
10091713604,41.0198905,28.9358074,4,,,,POINT (28.9358074 41.0198905)
10091713611,41.019794,28.9357766,3,crossing,,,POINT (28.9357766 41.019794)
10091713612,41.0198451,28.9358707,4,crossing,,,POINT (28.9358707 41.0198451)
10091713613,41.0201108,28.9359395,3,crossing,,,POINT (28.9359395 41.0201108)
10091713614,41.0202017,28.9358095,3,,,,POINT (28.9358095 41.0202017)
10091718819,41.0197664,28.935831,3,,,,POINT (28.935831 41.0197664)
10091718828,41.0217193,28.9336013,3,,,,POINT (28.9336013 41.0217193)
10091718829,41.0213642,28.9336763,4,,,,POINT (28.9336763 41.0213642)
10091718836,41.0212512,28.9338397,3,,,,POINT (28.9338397 41.0212512)
10091718844,41.0216109,28.9337711,3,crossing,,,POINT (28.9337711 41.0216109)
10091718845,41.0214418,28.933563,3,crossing,,,POINT (28.933563 41.0214418)
10091718875,41.0091585,28.9656441,3,,,,POINT (28.9656441 41.0091585)
10091718876,41.0073935,28.9653924,3,,,,POINT (28.9653924 41.0073935)
10091718882,41.0076095,28.9645337,3,,,,POINT (28.9645337 41.0076095)
10091718887,41.0141338,28.9667176,4,,,,POINT (28.9667176 41.0141338)
10093528153,41.0106069,28.9450816,3,,,,POINT (28.9450816 41.0106069)
10093528155,41.0102057,28.9465776,3,,,,POINT (28.9465776 41.0102057)
10093528179,41.0123536,28.9384779,3,crossing,,,POINT (28.9384779 41.0123536)
10093528182,41.0126409,28.9391829,3,crossing,,,POINT (28.9391829 41.0126409)
